City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nova sintra,14.8667,-24.7167,22.8,79,24,7.3,CV,1689601373
1,aioun,16.6614,-9.6149,35.17,36,91,2.61,MR,1689601373
2,iqaluit,63.7506,-68.5145,4.85,100,100,4.92,CA,1689601373
3,cidreira,-30.1811,-50.2056,12.6,66,0,5.36,BR,1689601373
4,port-aux-francais,-49.35,70.2167,4.25,98,100,16.33,TF,1689601374
5,yellowknife,62.456,-114.3525,17.29,67,100,4.63,CA,1689601311
6,puerto natales,-51.7236,-72.4875,2.25,69,40,5.66,CL,1689601374
7,tiksi,71.6872,128.8694,11.72,57,99,6.66,RU,1689601374
8,grytviken,-54.2811,-36.5092,-5.33,86,100,1.94,GS,1689601374
9,hammerfest,70.6634,23.6821,18.25,63,40,6.69,NO,1689601374
10,kapit,2.0167,112.9333,25.12,78,40,0.62,MY,1689601375
11,isafjordur,66.0755,-23.124,6.02,93,100,3.09,IS,1689601375
12,sao vicente,-23.9631,-46.3919,24.59,51,75,1.03,BR,1689601375
13,bilibino,68.0546,166.4372,17.21,55,98,1.11,RU,1689601375
14,waitangi,-43.9535,-176.5597,8.23,87,80,0.89,NZ,1689601375
15,udachny,66.4167,112.4,9.14,100,100,3.11,RU,1689601375
16,edinburgh of the seven seas,-37.0676,-12.3116,13.03,67,11,5.88,SH,1689601375
17,simanggang,1.2472,111.4528,27.99,83,6,0.0,MY,1689601375
18,lebu,-37.6167,-73.65,7.43,62,100,1.56,CL,1689601376
19,tikrit,34.6071,43.6782,44.19,7,0,7.48,IQ,1689601376
20,los frentones,-26.4077,-61.4137,13.38,58,100,3.71,AR,1689601376
21,avarua,-21.2078,-159.775,18.03,100,100,1.54,CK,1689601376
22,luwuk,-0.9516,122.7875,24.58,84,72,3.32,ID,1689601376
23,la ronge,55.1001,-105.2842,12.14,87,0,1.03,CA,1689601376
24,adamstown,-25.066,-130.1015,22.11,66,100,5.37,PN,1689601376
25,puerto ayora,-0.7393,-90.3518,24.75,96,40,2.24,EC,1689601377
26,sisimiut,66.9395,-53.6735,6.56,99,100,1.69,GL,1689601377
27,saint-pierre,-21.3393,55.4781,24.2,73,0,8.23,RE,1689601263
28,vemalwada,18.4667,78.8833,23.6,91,100,5.95,IN,1689601377
29,coquimbo,-29.9533,-71.3436,7.85,100,25,3.6,CL,1689601137
30,olonkinbyen,70.9221,-8.7187,4.81,98,100,8.53,SJ,1689601377
31,hermanus,-34.4187,19.2345,19.33,81,62,4.99,ZA,1689601353
32,port mathurin,-19.6833,63.4167,23.52,78,76,12.81,MU,1689601377
33,invercargill,-46.4,168.35,10.36,90,100,8.77,NZ,1689601378
34,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,94,75,2.0,RU,1689601378
35,sinabang,2.4803,96.3801,26.56,82,98,2.36,ID,1689601378
36,ulladulla,-35.35,150.4667,11.85,77,0,3.09,AU,1689601378
37,indianola,41.3581,-93.5574,18.94,92,18,0.45,US,1689601378
38,tanumah,27.1,44.1333,44.61,5,0,4.84,SA,1689601378
39,tromso,69.6496,18.957,21.01,49,40,5.14,NO,1689601379
40,west island,-12.1568,96.8225,24.99,69,75,8.23,CC,1689601379
41,sigli,5.3848,95.9609,28.22,72,100,3.54,ID,1689601379
42,lihue,21.9789,-159.3672,26.77,79,100,8.23,US,1689601280
43,tenenkou,14.4572,-4.9169,37.25,30,93,3.43,ML,1689601379
44,urucara,-2.5364,-57.76,32.38,46,35,2.0,BR,1689601379
45,suva,-18.1416,178.4415,21.71,83,75,4.63,FJ,1689601380
46,whitehorse,60.7161,-135.0538,14.89,80,100,2.06,CA,1689601380
47,barclayville,4.6797,-8.2339,26.39,81,95,4.5,LR,1689601380
48,ancud,-41.8697,-73.8203,3.69,77,57,3.04,CL,1689601380
49,santa ana de yacuma,-13.75,-65.4333,23.97,83,4,2.57,BO,1689601380
50,hasaki,35.7333,140.8333,27.39,88,0,3.32,JP,1689601381
51,yarmouth,41.7057,-70.2286,26.26,89,40,3.09,US,1689601382
